"","logFC","logCPM","PValue"
"ABHD8",-0.262968114361417,3.47637446436734,0.512187538666683
"ABI1",-0.0360563716541658,6.81631083672161,0.947282066908634
"ABI2",-0.520305944668674,2.20117869827383,0.524870936518476
"ABI3",-0.659382513909608,3.37352940287831,0.515872396092205
"ABITRAM",-0.102753702254113,5.21227544722215,0.695416470169074
"ABL1",0.0165213975598887,4.4356024967871,0.939440731454144
"ABL2",0.369662254027641,4.71764735772641,0.204546671764063
"ABLIM1",-0.0695347998361382,8.27270838969714,0.834092906678087
"ABLIM2",0.214975038963805,1.92056282096863,0.634725940676522
"ABO",-0.356094457182574,0.551500215740922,0.732337742778301
"ABR",-0.360712652024641,6.46835721089152,0.222019182552757
"ABRACL",0.477116891864384,4.72312926298969,0.29494571417343
"ABRAXAS1",0.688057854981697,3.16706673869443,0.21888290921697
"ABRAXAS2",-0.10579093394311,4.60138435839148,0.749626436371581
"ABT1",-0.100676936860608,4.72044303751048,0.74141166899594
"ABTB1",-0.337264624542405,8.24369080282378,0.478635206336194
"ABTB2",-0.345105039608783,2.51821156168053,0.57082436400557
"ACAA1",-0.38086129111185,6.75137055983181,0.316968125991686
"ACAA2",-0.254466294088677,7.0008418107996,0.322600496223448
"ACACA",0.172041411620919,5.23796820091012,0.521058328052235
"ACACB",0.0767017413726279,6.16673414797453,0.763783464348263
"ACAD10",-0.281852696253134,2.18715921705607,0.430068333674257
"ACAD11",-0.065252398140084,2.76113276628542,0.932868425329572
"ACAD8",0.312810499834318,4.09506984412326,0.297469730812184
"ACAD9",-0.171976488683125,4.95866726941895,0.583210197178701
"ACADL",0.0397225683924023,5.1242903091637,0.854904938704824
"ACADM",0.32564195202218,4.73399059757407,0.337511731305478
"ACADS",-0.595872940593124,4.20242454349464,0.108892922671775
"ACADSB",0.0282416062688246,3.26938230853474,0.916232379957951
"ACADVL",-0.177054353937661,7.09356061756121,0.547244488326465
"ACAP1",-0.449082252413632,8.43185022049788,0.214197853758764
"ACAP2",0.100399366265357,7.16033467260809,0.805429351031815
"ACAP3",-0.134002530561308,3.93832130407914,0.720584375185382
"ACAT1",-0.235713619834005,6.1934978083138,0.41988593522861
"ACAT2",-0.266660769546761,5.06163152286606,0.352315163505624
"ACBD3",-0.0345160861291939,5.33105126633197,0.947886320884325
"ACBD4",-0.174513021609037,4.24684132775605,0.598143966461559
"ACBD5",0.120964306448902,5.99475021759755,0.687567730279934
"ACBD6",0.456287004900487,3.57276704946814,0.122396984742871
"ACCS",-0.327452495143991,1.93840189350181,0.815543266035059
"ACD",1.36931157912973,1.80574982940146,0.0808125888878567
"ACER1",-1.32277171372377,1.62050863765131,0.114845795136521
"ACER2",-0.0976941212899931,4.12857345641429,0.809981114121127
"ACER3",0.217478777060291,4.4418043654927,0.574562591950725
"ACIN1",-0.411553824470204,7.64472996408731,0.158756558033435
"ACKR1",-0.341592693663311,3.4688899492934,0.679260858637018
"ACLY",0.0824273924674038,6.8807121712861,0.771662715405569
"ACO1",0.0485222212986088,6.03114229393621,0.815542011147406
"ACO2",-0.397421659791571,7.01435977486648,0.162273265084804
"ACOD1",0.438790745084697,5.83806649579069,0.388572293579848
"ACOT1",1.165498793623,1.22779023967878,0.00929900015305074
"ACOT11",0.0323007453029475,4.31148398559554,0.88407989957187
"ACOT13",0.0598957267503075,4.10080123684631,0.873262254662675
"ACOT6",-0.0178536938978887,0.993793642078307,0.95430946862587
"ACOT7",-0.33073103536866,3.43640647691541,0.495880833262047
"ACOT8",-0.180284751616077,5.33763786549285,0.605931307064117
"ACOT9",-0.0918643007282226,4.93946513232985,0.783835030165606
"ACOX1",0.740089253850644,4.39353144633182,0.0349282203196817
"ACOX3",0.0838290190074918,2.30911827536224,0.805463461475286
"ACOXL",0.19117814206939,1.12307421690158,0.606822736843649
"ACP1",-0.272214776271493,4.72730343772087,0.364258058175947
"ACP2",-0.0609140908168709,2.46222970963493,0.909151977455557
"ACP3",-0.362866310571943,4.59478535462234,0.433949365409452
"ACP5",-0.479759421491472,9.64954462587683,0.431831821795265
"ACP6",-0.313747441791472,1.13019620899946,0.717759314149905
"ACR",0.214985466440865,1.27420145571887,0.662604534641792
"ACRBP",-2.9731174280284,1.9282229347147,0.0172685421404782
"ACSF2",-0.106550300158523,5.45052915869959,0.761094003975874
"ACSF3",-0.0396939704176985,5.1959522701046,0.946162625004572
"ACSL1",0.0921653430830255,6.30892417193258,0.788387576727405
"ACSL3",0.109036044834117,5.65854641275267,0.710142523172741
"ACSL4",0.196770409154958,5.77513048366553,0.548813651072161
"ACSL5",-0.324508629086802,10.9448145052633,0.327418294428797
"ACSM1",-0.146953914173439,3.05868641369297,0.73251912978049
"ACSM4",0.499463918072188,2.25517470752219,0.217701835641931
"ACSS1",-0.281516230345338,10.032771261526,0.403454657540748
"ACSS2",-0.264663880341859,8.54729300959758,0.373465772095595
"ACSS3",-0.665011453139123,2.52312128823916,0.286550384572451
"ACTA1",-1.09036111306894,4.52097442464804,0.629839111111117
"ACTB",-0.120679282799807,12.1076467739888,0.637479574394856
"ACTG1",-0.372792046701303,11.6461876470498,0.139604863187782
"ACTL6A",0.073957195917638,4.56723739269688,0.796306807402127
"ACTN1",-0.245817696469064,7.42352327213413,0.391377467198747
"ACTN2",-1.31019174198811,1.68732803942992,0.444650582824179
"ACTN4",-0.0790330729711168,6.90860667622435,0.834090863987548
"ACTR10",0.528379796430875,5.25460912937722,0.106819482002242
"ACTR1A",-0.299744347789594,7.92320038163813,0.223493465857936
"ACTR1B",0.0201222015167928,5.00125632419279,0.929261287375767
"ACTR2",0.0376079558318097,8.45327090190185,0.902191262704862
"ACTR3",-0.0362233363526306,9.11784178320021,0.931921464843142
"ACTR3B",-0.0257533102711488,3.89408890098711,0.96766580755058
"ACTR5",-0.183567689153023,4.31493223100821,0.518673944097893
"ACTR6",0.633550962092991,2.44977730388649,0.325728245717744
"ACTR8",0.00399769875421199,6.45915856663131,0.973437076700506
"ACVR1",0.0133625311257102,3.28037965011222,0.927420635235713
"ACVR1B",0.103131563509511,7.75451731497357,0.800744617513559
"ACVR2A",0.351720939230489,2.49045496883672,0.286563603253672
"ACVR2B",0.677329552115801,0.812101124411606,0.196885235361463
"ACVRL1",-0.348029498415446,6.72350082887509,0.410181780863637
"ACYP1",-0.257996320726433,2.45150215474722,0.52129376414781
"ACYP2",-0.0788945871409599,9.19837096183301,0.852477886657569
"ADA",-0.695864761246717,6.20786162048944,0.0840646374685581
"ADA2",-0.52379619689905,5.49923780884974,0.0759211544595635
"ADAL",0.0604203455207615,3.85557304716606,0.833088743214583
"ADAM10",0.334112268475106,5.86414046418095,0.397994616903695
"ADAM11",0.0368597690275008,3.69438909861303,0.915808541143191
"ADAM15",0.35929401431531,2.73934068491455,0.421402970609006
"ADAM17",0.144675249592274,6.76855916628282,0.546946345987747
"ADAM19",-0.0665429903355513,9.28385809213697,0.836326286828804
"ADAM22",0.221131761076698,2.91289203044943,0.521018845844493
"ADAM8",0.0306050020171815,10.1816749227542,0.906886603571352
"ADAM9",0.290939442958939,4.00109754727559,0.497821441703196
"ADAMDEC1",1.62196711339194,4.39460489980304,0.00531405295910642
"ADAMTS10",0.594350558284813,4.13032070717051,0.234712335913127
"ADAMTS14",-0.166751927049828,2.91306037878737,0.788044453232472
"ADAMTS15",0.141879248636003,3.33150590499036,0.765656476802651
"ADAMTS17",0.207859792910862,2.34410451478389,0.647756977805123
"ADAMTS2",0.19688196714941,6.18396607403061,0.543022904356754
"ADAMTS4",0.311757572923535,1.0101468713612,0.524691322452174
"ADAMTS6",0.282594959863604,2.16281342536393,0.549810379473935
"ADAMTSL4",-0.284613966950055,5.23185138559051,0.511955847057392
"ADAP1",-0.0187693072001883,6.20964278144198,0.965689034908586
"ADAP2",0.139820607883733,7.34887797622216,0.613712780009148
"ADAR",-0.274903147992881,8.84225529371881,0.482065366793126
"ADARB1",-0.192569366142297,3.56393935330251,0.665654846973957
"ADAT1",-0.0576087473821826,3.0393910538885,0.936684590151824
"ADAT2",0.144706098043096,2.19937068362271,0.703451568201087
"ADAT3",-0.165008142262302,1.43934138485961,0.957042434002004
"ADCK1",-0.141145995394475,3.33739631709189,0.642532635707417
"ADCK2",-0.464588096080946,3.30918103342616,0.399549368335983
"ADCK5",0.194066315754809,4.08574022898214,0.61676605872531
"ADCY10",0.454478517520686,2.60440498047758,0.303731813785943
"ADCY3",0.224166675262244,4.71118710972711,0.522448747103147
"ADCY4",-0.819177103479712,5.85178298815826,0.0795454121310445
"ADCY6",0.0358978547298642,1.61466459162889,0.942544606714708
"ADCY7",0.0437298833121529,8.06571634201435,0.892228730403426
"ADCY9",0.0730221495070731,5.81662696817884,0.846413793011854
"ADD1",-0.173042515636129,8.53658055151767,0.509628505438218
"ADD2",-0.015381512636153,2.97315118851917,1
"ADD3",0.346564379888304,7.76458484257407,0.449038033869544
"ADGRD1",0.311377706912784,2.50296389955393,0.497624924991039
"ADGRE1",-0.0412680518949391,8.55629587742563,0.912173151634033
"ADGRE2",-0.0554935338572658,6.61214080696464,0.873019708225758
"ADGRE3",0.0120249954361416,6.15544522966183,0.959074348115997
"ADGRE4P",0.166375577235446,4.15135042314653,0.675418581908547
"ADGRE5",0.0402899861670331,9.01255902092915,0.876238828106577
"ADGRF3",0.957747715002791,0.591160293299158,0.238887568236193
"ADGRG1",-0.169707715514743,4.56566003529091,0.67322307296328
"ADGRG3",-0.47870258993171,5.59118881442883,0.15148507443841
"ADGRG5",0.0213059434302501,4.13946111725851,0.926698130913938
"ADGRG6",-0.0336761556716513,2.59445325146029,1
"ADGRL1",-0.162024356058428,4.51560124349955,0.660110037193254
"ADGRL2",0.186920611699299,4.15096102185814,0.587896004361088
"ADH5",0.126855020406042,6.28000216407956,0.623643799797901
"ADHFE1",-0.0228294641781407,3.26210100133795,0.992599815770977
"ADI1",-0.326232621534724,4.35480156351751,0.23586526061747
"ADIPOR1",-0.207450134079004,9.50024002864466,0.556281339585028
"ADIPOR2",-0.0659162609080196,6.59148244203537,0.772178903997726
"ADIRF",-0.705836588137423,1.31850709432974,0.366397638182919
"ADK",0.00112770275468346,3.52447656860759,0.983535161795265
"ADM5",-0.537575410693402,1.26901380089763,0.392612386191053
"ADNP",0.12561715528676,6.86749599869497,0.661518096693936
"ADNP2",0.151517447124344,5.31044429276654,0.585031780328941
"ADO",0.162050671267392,4.69603910874048,0.49764445765128
"ADORA2A",-0.286227809021696,5.89372899626808,0.403585053429907
"ADORA3",0.0762785949767322,4.7855263907756,0.824107988307376
"ADPGK",0.0580400357651374,5.4537371642939,0.807556865577969
"ADPRH",-0.0107395714116332,4.61765449104507,1
"ADPRM",0.623876954087549,3.06841428754379,0.091679769215925
"ADPRS",-0.554336820358776,5.03270886063328,0.216920888705339
"ADRA2A",0.497723486483192,3.85446238135773,0.23923169561814
"ADRB2",-0.00191026280319367,4.69840896930888,1
"ADRM1",-0.543751892799829,6.0562691719467,0.127421108853304
"ADSL",-0.0345707859351927,4.75510009992606,0.918088463569292
"ADSS2",0.169251284715091,6.14815595467155,0.534277128507356
"AEBP2",0.327547889088348,3.33882431120113,0.437751885972623
"AEN",-0.0900027669344095,5.12393307808581,0.802856586278098
"AFAP1",0.125982170391299,3.26698475334868,0.673590077331326
"AFAP1L1",0.303425620967227,5.14041408524238,0.445172040760712
"AFAP1L2",0.452446852031198,1.11292528085264,0.294255717693796
"AFDN",0.110902880664569,1.60083076068029,0.79568212564189
"AFF1",-0.137290597513158,7.14147844947349,0.768175967842961
