"","logFC","logCPM","PValue","FDR"
"LOC118538654",-4.16262895076074,0.0024961368280516,8.47038187765356e-06,0.00180062897398029
"LOC118529982",-4.42942785453463,-0.621172957429853,8.57869169143708e-06,0.00180062897398029
"NAV3",-4.00520056946854,-1.10634723885492,8.89744557187224e-06,0.00182467427012662
"CPE",-3.81701522429901,-0.88541902243536,8.95275009875112e-06,0.00182467427012662
"LOC118529161",-4.06249945931322,-1.12733657306901,9.08281888089247e-06,0.0018247383131713
"KDR",-3.12642193636852,-0.599616440388268,9.45873392268621e-06,0.00187349542471459
"LOC118520430",-3.39713191654535,-0.768850822629268,1.18937280448912e-05,0.00232307635410147
"CDHR1",-3.5749854907123,-0.546653869784232,1.24133597558198e-05,0.00239135723624786
"COL12A1",-3.79382482235152,-0.804109391980587,1.55031874460304e-05,0.00294186781546109
"OMD",-2.42567167090843,0.0921354372886292,1.56894038369894e-05,0.00294186781546109
"COL5A1",-2.37013998696194,0.132320284145413,2.06981565737636e-05,0.00382997599864259
"PYGO1",-2.85729751834376,-0.515455024072768,2.15670392288096e-05,0.00393892561915258
"TCAF1",-3.3765364157931,-0.940665873755658,2.44969208436385e-05,0.00441666920287293
"SERPINE1",-1.98042688057108,0.180542794810225,3.18773323852649e-05,0.00567456867511368
"PCSK5",-3.37529904356387,-1.05808657449153,4.03224137328098e-05,0.0070006679546235
"LTBP2",-2.97030168004237,-0.554799193634099,4.23700371967263e-05,0.00720951215066324
"CFAP57",-3.24951893781763,-0.739850537871588,4.25506299157398e-05,0.00720951215066324
"COL16A1",-3.58307874952757,-0.984338761770012,4.31783725206555e-05,0.00722877919949975
"FLRT1",-3.73846569908819,-0.697337453626636,5.88555351577909e-05,0.00973747518734134
"TFPI",-2.72738004504971,0.250956727827639,6.53775485556231e-05,0.0106907495969503
"LOC118553595",-1.74922048204006,0.266744300950434,7.52315218145049e-05,0.01216069989974
"LOC118529017",-3.37054861555503,-0.669037448363602,7.78014722567658e-05,0.0124332057312147
"LOC118535374",-3.47256265789625,-0.976680469112907,8.39092005189711e-05,0.0132585964820033
"LOC118519515",-3.1746456908477,-0.740286763143458,0.000100742224461483,0.0157415322511315
"UACA",-2.27454243822144,-0.188701427052546,0.000107385919600003,0.0165952548058773
"AGAP1",-2.14278133447519,-0.162348189106634,0.000110423247567963,0.0168791535929159
"COL11A1",-3.07652974038582,-0.97262469546426,0.000113463165858373,0.0171573387254441
"PDZD2",-2.28977678977559,-0.16997164736327,0.000122188767887289,0.0182802196042441
"SFRP5",-3.1619799102037,-0.782217102909909,0.000129016828525666,0.0190985648374362
"SEMA6A",-3.19993849301029,-0.767123914179355,0.00015768803297774,0.0229803941349579
"DLC1",-2.94078440876156,-0.586207604014672,0.000159221398498029,0.0229803941349579
"OSBP2",-2.37001445713227,0.0945315941070617,0.000160142119407372,0.0229803941349579
"ERFE",-3.14024987278935,-0.728176683519038,0.000164680364226908,0.0233929289103334
"SCN9A",-2.80663081912451,-0.766405128553206,0.0001924771028463,0.0270680549732751
"HTRA1",-1.94599863463191,0.442104970010056,0.000197492701342975,0.0274984144454085
"PAQR9",-3.02098274261852,-0.156338119806158,0.000211355597232989,0.0291401349400738
"AMOTL2",-2.82247950718121,-0.931724920166608,0.000233916656856124,0.0319375722851231
"GXYLT2",-2.78854847137636,-0.648468605471428,0.000237969042991574,0.0321784485729856
"EMID1",-1.50605460396158,2.29808687550369,0.000251611483325471,0.0336991646667248
"TNC",-3.25391751686685,-0.80924370093208,0.000316830007891229,0.0420337773676825
"GRIP2",-3.36843121174228,-1.08486502124184,0.000349626703917659,0.0459514050205051
"ADAM12",-3.12654203626201,-0.913495529425111,0.000361978155663812,0.0467603292137745
"YAP1",-1.69182556344053,-0.134195525358264,0.00036243162087047,0.0467603292137745
"TFRC",-1.45516348946722,4.94822026995422,0.000372039278819632,0.0472746410455142
"IGFBP5",-2.43312568234082,-0.425021261256954,0.00037322664547708,0.0472746410455142
"STUM",-1.69746847263544,0.808810319612349,0.00037978470658506,0.0472746410455142
"COL2A1",-1.74842093803846,1.05080742080474,0.000379864498196907,0.0472746410455142
"PKD2L1",-2.69458612330227,-0.647176584780756,0.000384083719014304,0.0473804328113874
"SEMA6D",-2.27266977884318,-0.49270437044023,0.000400921523616828,0.0490274729271605
"RAI14",-2.18072999004976,-0.479078238032295,0.000406009534945825,0.0492216559477857
"GAS6",-2.40082965544896,-0.321455366837341,0.000413670335584435,0.0497217600796915
"LOC118527103",-2.5352238188972,-0.666571769873536,0.00043069541919553,0.0513294040690401
"NSG1",-1.62697571868332,0.307242637090684,0.000459615816733931,0.0543157750481451
"RXRG",-2.79242045207071,-0.895510066509749,0.000561621049858008,0.0656951054671456
"SELENOP",-1.15854030924154,4.54386182885849,0.000565249787493751,0.0656951054671456
"RIMS3",-1.48988438992638,1.16932453826835,0.000584332355601694,0.0673562780067756
"STAB2",-2.21769856397569,-0.0558874359647033,0.000608175230261142,0.0695347013265239
"DPYSL3",-1.4462687506352,1.21752532756989,0.000617198269107312,0.0699972520843237
"LOC118529361",-2.79925254027109,-0.885462394819325,0.000646054145482188,0.0726836755833281
"RYR2",-2.8498536811539,-0.945395381713612,0.000654800118202665,0.0730829687482863
"MARCO",-2.68910912316131,-0.41652739430554,0.000683717256385565,0.0751952171503703
"OLFML2A",-2.73530228580047,-0.871387876541207,0.000684419241644556,0.0751952171503703
"LRRC4",-1.21834487121639,1.61610033809513,0.000734100061557369,0.0800282881060564
