"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A3GALT2",0.333523820296567,-0.805325488169534,1.70716765375496,-0.47173192767459,0.637118144809163,1
"A4GALT",842.559354696763,-0.408967156674819,0.340125891826063,-1.20239936594995,0.22920883473736,1
"AAAS",157.663093034325,0.183020802713291,0.319731241110955,0.572420768384587,0.567036949108207,1
"AACS",238.589439569935,0.330523767884153,0.257033829242075,1.2859154332283,0.198472576910334,1
"AADAT",0.743067853878914,2.38458913576976,1.28661045878115,1.85338858354125,0.063826682480352,1
"AAGAB",369.991188559835,-0.203997599018643,0.208410297370891,-0.978826869843214,0.327665530837126,1
"AAK1",240.657660022261,0.0666296548575858,0.197818988015659,0.336821331086334,0.736251591834549,1
"AAMDC",19.1486829309734,0.628628067978416,0.513642554665196,1.22386290284723,0.22100395010748,1
"AANAT",8.7494986478152,-0.994240273279136,0.616635974359274,-1.61236177359295,0.106883238114258,1
"AAO4",0.980635269028677,0.101716614094062,1.19169754398842,0.085354387618886,0.931979654179545,1
"AAR2",192.295031631807,-0.0827936605941671,0.248198609665908,-0.33357826099676,0.738697824727171,1
"AARE",101.53727483289,0.395785366644761,0.256906883556469,1.54057906571338,0.123419266143088,1
"AARS1",5.51572852235746,0.26496309387601,0.496391702273609,0.53377824943972,0.593494963847592,1
"AARS2",11.6373318262991,-0.186497933914261,0.379600796513614,-0.491300164876163,0.62321416326424,1
"AARSD1",244.75141600502,-0.181831880577841,0.306762868579454,-0.592744100418221,0.553352422916702,1
"AASDH",99.838397788445,0.229465012638515,0.367616235566458,0.624197166604824,0.532498107427824,1
"AASDHPPT",142.070885298252,0.17759948802897,0.204542115743261,0.868278336633081,0.385241978587306,1
"AATF",205.462246925611,-0.0870329973177395,0.252331439679402,-0.34491539155136,0.730157979089075,1
"AATK",406.892590541827,-0.354149213730711,0.331874798974807,-1.06711692127487,0.285919041673886,1
"ABAT",44.7211120520433,0.607204052627035,0.3103241581083,1.95667670969763,0.0503854898325767,1
"ABCA1",487.87859958179,0.0382178482115999,0.498083329913776,0.0767298279551253,0.938838475206045,1
"ABCA12",4.69132780587688,0.0401737951125095,0.593655476022366,0.0676719018607958,0.94604681708804,1
"ABCA13",4.71007000063164,-0.729377337026509,0.658736997046817,-1.10723602939622,0.268191893946196,1
"ABCA2",379.825505069704,0.457097788051001,0.334395054133341,1.36693944004546,0.171644288425762,1
"ABCA3",152.944521197245,-0.232717799525477,0.293065654032217,-0.794080767649061,0.427148413133558,1
"ABCA5",31.2217307817474,0.161284439588958,0.367173658074379,0.439259287920612,0.660473670067391,1
"ABCA6",27.8727043938237,0.724920774104803,0.534043578968695,1.35741876253754,0.174648189913231,1
"ABCA7",3.00793269515168,-1.35464964327291,0.788421218716269,-1.71818009347668,0.0857637713120127,1
"ABCA9",14.6618880217303,-0.615793905498006,0.413895213862529,-1.48780146489574,0.136803259253243,1
"ABCB1",4.08757967299462,-0.971542182978936,0.669503528801386,-1.45113825571359,0.146741365808215,1
"ABCB10",64.921777976575,-0.0371736773521507,0.322468894599834,-0.115278335289614,0.908224509803365,1
"ABCB11",35.3938351132858,-0.264584472019324,0.586462556447995,-0.451153222162763,0.651879121118622,1
"ABCB6",111.443680111996,0.747715970193961,0.478735119527733,1.56185736056209,0.118321595311292,1
"ABCB7",125.86395345319,0.0403100394891186,0.273303520155746,0.147491841547256,0.882743818809424,1
"ABCB8",47.250663303362,0.244046175906868,0.359755810349176,0.678366183078458,0.497539545026919,1
"ABCC1",471.601557156856,0.365619568548304,0.226916443932511,1.61125197544981,0.107124813469335,1
"ABCC10",233.871810621083,0.0107072762300207,0.283220137219037,0.0378054905811301,0.969842766652815,1
"ABCC11",0.682312023032411,-0.709934389264809,1.46795226916524,-0.483622256783945,0.628653976262443,1
"ABCC3",258.351819546546,-0.73638166820292,0.325670649783781,-2.26112383382358,0.0237515898838354,1
"ABCC4",33.3102295287464,-0.138327605160517,0.361910154387569,-0.382215319143498,0.702301659879345,1
"ABCC5",107.729262099994,0.160275109723412,0.258034176857924,0.621139074191949,0.534508121939488,1
"ABCC9",102.476073019375,-0.597406694840702,0.578305668168184,-1.03302929181556,0.301590190965712,1
"ABCD1",5.02461564661946,0.771199530669186,0.54045600552631,1.4269422909237,0.153596529476707,1
"ABCD3",34.0634205604446,0.249442953424585,0.443833110930722,0.562019703535639,0.574102594639084,1
"ABCD4",308.642705712096,-0.273620552436064,0.204207477085374,-1.33991446513817,0.180273154770954,1
"ABCE1",177.083362840629,0.23174884420156,0.418733635520325,0.553451704240536,0.579954142590086,1
"ABCF1",15.3455524071995,0.109988255128119,0.36390857388521,0.302241450246272,0.762468008137471,1
"ABCF3",443.61957109676,-0.120547512885947,0.190288656183271,-0.633498156452609,0.526408384360885,1
"ABCG1",361.225058081769,-0.000545027169065634,0.21300261954451,-0.00255878153156582,0.997958389949357,1
"ABCG2",146.841393692921,0.118343412990742,0.185895448768084,0.636612750742396,0.52437711765539,1
"ABHD1",4.27882392162759,0.21734734928511,0.600925275217004,0.361687814190579,0.717585334293389,1
"ABHD10",50.4677968161896,0.334457178667943,0.253223155781438,1.32080013629014,0.186568014271708,1
"ABHD11",40.2927283739755,0.0309597942395335,0.345325064090331,0.0896540606488817,0.928562123151955,1
"ABHD12",1.62061515696238,0.270608291970192,0.719604625340911,0.376051351590454,0.706878720024473,1
"ABHD12B",75.5383161312249,-0.255185790734144,0.349091875459788,-0.730998939456953,0.464779800726202,1
"ABHD13",209.232919092558,0.0486369683306244,0.373295729123013,0.130290717348649,0.896336423951001,1
"ABHD14A",4.23495255684697,0.00668478497078106,0.585785022626205,0.0114116693199353,0.990895002855256,1
"ABHD14B",113.048590714687,-0.581070240517729,0.359622211441025,-1.61577962103439,0.106141969138599,1
"ABHD15",17.9647074714476,-0.00636515414521159,0.336992247205896,-0.0188881322878701,0.984930346915877,1
"ABHD16A",540.812437818152,-0.216001828349388,0.205635222307209,-1.05041259919321,0.293528455471113,1
"ABHD16B",2.98534845477788,0.133925283313063,0.655737221895436,0.204236207494744,0.838168918134064,1
"ABHD17A",535.867687865067,0.0708149261343218,0.308710705674753,0.229389278805673,0.818566368301468,1
"ABHD17B",49.2389276985853,0.220514434891102,0.342582975264877,0.643681825463176,0.519781777682938,1
