"","logFC","logCPM","PValue","FDR"
"ECM2",-1.3174715360048,0.891551284772989,0.0223306920046583,0.995437850562911
"CARD14",1.52031147671815,1.99503019258093,0.0231018931109396,0.995437850562911
"LEPR",-1.05713292206834,3.06053790955424,0.0231029116578553,0.995437850562911
"APOD",-1.51648766310858,-0.092147330768811,0.0239783930989844,0.995437850562911
"VSTM2L",1.69929208192568,3.69626441972926,0.0240791296403939,0.995437850562911
"KCNE4",-1.87816240734369,0.312588626688952,0.0243085576185572,0.995437850562911
"CA2",-1.71992719839103,3.2750350760237,0.0251618462600784,0.995437850562911
"LGALS4",1.0698085025987,3.1372724668444,0.0256753900415931,0.995437850562911
"EOLA1",1.52922584504646,1.12637944638065,0.0262975209919972,0.995437850562911
"CP",-1.1216005238988,4.12548096477056,0.0264860223879085,0.995437850562911
"LOC118535271",2.09910833243795,0.476312414561393,0.0271185666750307,0.995437850562911
"TNNT3",4.00639139719255,1.63358154070906,0.0274294486926875,0.995437850562911
"LOC118534214",1.69923822003881,6.22340366410832,0.0281695733553373,0.995437850562911
"TGM2",1.10566273133162,7.65141890813931,0.0285227584281701,0.995437850562911
"LOC118519563",2.10656679716147,0.235370203379586,0.0288392904877306,0.995437850562911
"CUNH6orf141",-1.14684297841959,0.424753114848858,0.0291876361278398,0.995437850562911
"CLCN2",-1.14242027961724,2.00925105113788,0.029442473196793,0.995437850562911
"ECHDC2",-1.00597398026063,0.967880856298241,0.0302376235158916,0.995437850562911
"WDR83",1.27528363597997,0.895685161758785,0.0303704783342902,0.995437850562911
"CADM3",-1.17251771067236,-0.0423127214032344,0.0304613368883094,0.995437850562911
"KLHL13",-1.18967240008527,0.377318449010127,0.0305769166287368,0.995437850562911
"PLAAT4",1.27681006608144,4.05456015439742,0.0307538678876401,0.995437850562911
"LIMA1",-1.24828521997468,0.334536049351145,0.0314893870961045,0.995437850562911
"EPCAM",-1.07858478689238,0.342853028544546,0.0316275723261199,0.995437850562911
"CXCL9",-1.6937204639858,0.868225026731428,0.0329709407761822,0.995437850562911
"LUC7L2",-1.0193784348446,1.43025100436835,0.036142024860652,0.995437850562911
"LOC118531342",1.07494710704226,1.87032308952652,0.0364974157752176,0.995437850562911
"LOC102733007",-1.23491454727855,0.0908618898184887,0.0371169712046232,0.995437850562911
"LOC118546678",-1.15359480044592,0.846234707393716,0.0385678423198759,0.995437850562911
"LOC112820762",1.23764853822712,0.704703632541522,0.0391756822131787,0.995437850562911
"SYT5",1.59771468456656,0.9175584931543,0.0402091601294655,0.995437850562911
"LOC118518128",1.75449813944266,0.561660080563333,0.0408356548662111,0.995437850562911
"IL2",-1.53865859889395,0.042859890540062,0.0422904082565872,0.995437850562911
"RUNDC3A",1.5597092507032,2.84890628455963,0.0427467811199001,0.995437850562911
"LOC118538778",-1.24439809847886,0.459702491313767,0.0448270949431324,0.995437850562911
"TNFRSF18",1.0762435196638,3.05897643763863,0.0459319175341525,0.995437850562911
"IER2",1.21486783264355,2.17133229128961,0.046227702123116,0.995437850562911
"OLFML2B",-1.29707518740317,0.899411274506965,0.0470704172315595,0.995437850562911
"PRDM8",1.1225793786863,1.14194748670289,0.0471793717348482,0.995437850562911
"AVPR2",1.78831340724127,0.257194693445745,0.0483292675401525,0.995437850562911
"GDPD2",1.10192101100429,1.68645334111065,0.048664662755147,0.995437850562911
"ROBO1",-1.02647629753114,0.314803248650976,0.0486888461281538,0.995437850562911
"SVEP1",-1.20467879970988,0.489220884434372,0.0489617262183784,0.995437850562911
"PCOLCE2",-1.04687041574432,0.345134505939175,0.0490699817593406,0.995437850562911
"LOC116627731",5.20528009910677,0.289704391260416,0.0492306058431477,0.995437850562911
"FGF2",-1.22178814731621,-0.0730267307937655,0.0494629581970774,0.995437850562911
