"","logFC","logCPM","PValue"
"A4GALT",-0.38297541463655,7.836616785019,0.265669742134925
"AAAS",0.205759461677842,5.42909548628437,0.536554739847723
"AACS",0.343052658029084,6.02698622950252,0.194569277392285
"AAGAB",-0.191808746574407,6.65036599359788,0.425347011099125
"AAK1",0.0734146071069156,6.03636761830863,0.725843859909007
"AAMDC",0.641480382096729,2.42652547188757,0.230288117237672
"AANAT",-0.876685352005955,1.4628543101664,0.168720931142178
"AAR2",-0.0666234645034407,5.71080258400503,0.788088398730774
"AARE",0.415246660957595,4.81039852115472,0.128396683737348
"AARS1",0.264862992378156,1.0135398697009,0.595641537831028
"AARS2",-0.159078370953826,1.86278540571805,0.758280226268622
"AARSD1",-0.157342484730917,6.05459244433594,0.608909201279991
"AASDH",0.232992487264674,4.78608380790269,0.498237361453776
"AASDHPPT",0.190683609058023,5.28588247527907,0.409160879183316
"AATF",-0.0679214340058045,5.80566644361038,0.791304200884124
"AATK",-0.333625053505882,6.79069138371038,0.322582320067424
"ABAT",0.61372063200125,3.66942559190986,0.0555415053458164
"ABCA1",0.0391140260965109,7.04703817978151,0.911767459904757
"ABCA12",0.0538339965730246,0.863987935722196,1
"ABCA13",-0.690916298585104,0.819556779086713,0.270154740535012
"ABCA2",0.471290220474548,6.69554972892408,0.148059528081971
"ABCA3",-0.216035522413283,5.3882576392522,0.481835813375603
"ABCA5",0.164880160492893,3.16985014380535,0.628947972686339
"ABCA6",0.726130556001159,3.01622909700005,0.147010947752382
"ABCA9",-0.56900758296726,2.16191721002741,0.207918257131589
"ABCB10",-0.0263769948154397,4.17434142131297,1
"ABCB11",-0.267445184212764,3.33257625972711,0.691700570339536
"ABCB6",0.753656450030133,4.91504363472814,0.0980361636368222
"ABCB7",0.0483060328338781,5.10856502656709,0.854914799823819
"ABCB8",0.253599182892422,3.7393827223446,0.492620536230655
"ABCC1",0.376302672883391,7.00403138629762,0.127610596700547
"ABCC10",0.0241025697416739,6.0005387978212,0.910015895432469
"ABCC3",-0.720439443841124,6.1346111006355,0.0298502762285217
"ABCC4",-0.1332880726994,3.27184225751272,0.788571574104325
"ABCC5",0.170605540197996,4.89642076637847,0.509173292415746
"ABCC9",-0.587043611336301,4.81088546763965,0.314859635148477
"ABCD1",0.762986861179873,0.950374887345489,0.126796411889035
"ABCD3",0.250421352364145,3.29995030857845,0.531337583900604
"ABCD4",-0.256884880355985,6.39194383805641,0.284182092594583
"ABCE1",0.233335734179801,5.59727903348899,0.540651290653892
"ABCF1",0.114044366036611,2.23642836872523,0.778562397996008
"ABCF3",-0.104662631183054,6.91374420133373,0.649262129460062
"ABCG1",0.013646342987949,6.62119992241236,0.953398403990338
"ABCG2",0.128287107817321,5.33037196143174,0.558957939672005
"ABHD10",0.342905060012221,3.83366425814656,0.208674470492148
"ABHD11",0.0407136298451521,3.48383592338966,1
"ABHD12B",-0.243140019123665,4.37691595707124,0.504626673642127
"ABHD13",0.0505900625320851,5.83443327881508,0.86842639879036
"ABHD14B",-0.546702612229573,4.94892250029361,0.135482368967483
"ABHD15",0.00494505967162703,2.43574128059127,0.980177889142247
"ABHD16A",-0.198052594365248,7.19889869374459,0.413477043718013
"ABHD17A",0.0969888895423269,7.18754773052803,0.751057451209434
"ABHD17B",0.227311506184108,3.79827591201261,0.494604911357466
"ABHD17C",0.130469981346154,3.69195644534532,0.665549833422033
"ABHD18",0.182956809859257,3.85427620990333,0.67362443804525
"ABHD2",-0.427174603909461,9.58660029555653,0.150574390354243
"ABHD3",0.0861859824355747,4.85404460081993,0.770221579508047
"ABHD4",-0.0400678516737413,6.14922331563775,0.864830059711001
"ABHD5",-0.211298135875378,6.57402825874386,0.407256092573568
"ABHD6",-0.223305366879609,5.85401458302984,0.337045391234608
"ABHD8",0.213554599490135,3.98216638283379,0.582840321333917
"ABI1",-0.123759566605568,7.3372566576419,0.714094468774879
"ABI2",-0.261152682261933,3.61684788262143,0.597655613708954
"ABI3",0.276213410899641,6.38194448543743,0.386820179809109
"ABITRAM",-0.0484720188286801,2.06838698626222,1
"ABL1",0.170151974014795,5.22161430775621,0.534350312764049
"ABL2",0.371683202074944,3.81620295880962,0.313195243495987
"ABLIM1",0.24976018480005,8.75860473208951,0.302259924333165
"ABLIM2",0.0786091595718528,3.09735581000028,0.853234580248181
"ABR",-0.0241228724609291,7.64358767848433,0.93971424728601
"ABRACL",-0.451143957276876,0.941084382710581,0.395859044525917
"ABRAXAS2",0.0989904332653463,5.01315008856747,0.635815883812879
"ABT1",0.19272486974217,5.11165285613424,0.495300674241282
"ABTB1",-0.335609173467393,11.1307972126499,0.259056432161492
"ABTB2",0.123655729299556,2.00225830211635,0.591085256954851
"ACAA1",-0.170250835924804,7.57673317085249,0.614088712225317
"ACAA2",-0.157414121259806,7.51931249449986,0.527695884661129
"ACACA",0.320926998407377,5.6828170054106,0.166844316818151
"ACACB",-0.109662372495845,6.6897171846489,0.662784692724601
"ACAD10",-0.162674708423586,3.11277294269547,0.561963952498835
"ACAD11",0.185985299285554,2.84890654881483,0.46867809886887
"ACAD8",0.0103334469295371,5.56044749901636,0.949998078196345
"ACAD9",0.28273062059332,5.7561906351368,0.281421302341812
