"","logFC","logCPM","PValue"
"A4GALT",-0.242672111496479,7.836616785019,0.52096992191328
"AAAS",-0.264212841228494,5.42909548628437,0.466232909149808
"AACS",0.187772801550981,6.02698622950252,0.49708351694775
"AAGAB",-0.102784317304343,6.65036599359788,0.699069079383786
"AAK1",-0.0242775525547632,6.03636761830863,0.961842997050516
"AAMDC",0.528294249789488,2.42652547188757,0.369943675428857
"AANAT",0.124558165109176,1.4628543101664,0.862974622449224
"AAR2",-0.26257310843647,5.71080258400503,0.367477215336654
"AARE",0.123615216251815,4.81039852115472,0.659991928300916
"AARS1",0.41098927447411,1.0135398697009,0.454926639664544
"AARS2",-0.594319326138514,1.86278540571805,0.213727735075468
"AARSD1",-0.410772164560075,6.05459244433594,0.228848466590207
"AASDH",0.218806050853311,4.78608380790269,0.542531039357127
"AASDHPPT",0.178974639719743,5.28588247527907,0.463771585662371
"AATF",-0.579481313623077,5.80566644361038,0.0548034159488616
"AATK",0.0905681239793431,6.79069138371038,0.780652438438974
"ABAT",0.337856905684807,3.66942559190986,0.319841444060518
"ABCA1",0.329334812088304,7.04703817978151,0.4854457010862
"ABCA12",-0.456846170283598,0.863987935722196,0.535574836893304
"ABCA13",-0.329860282263735,0.819556779086713,0.685818494753294
"ABCA2",-0.161425754634546,6.69554972892408,0.679025504392467
"ABCA3",-0.0825565067612629,5.3882576392522,0.814233611605245
"ABCA5",0.386680538237027,3.16985014380535,0.310398676941866
"ABCA6",0.41712493042303,3.01622909700005,0.426559344377886
"ABCA9",-0.136839842085463,2.16191721002741,0.79999340959427
"ABCB10",0.188080823124364,4.17434142131297,0.563232186151888
"ABCB11",-0.173594875406614,3.33257625972711,0.82702345398581
"ABCB6",-0.376548122489833,4.91504363472814,0.475407534651732
"ABCB7",0.184206078615278,5.10856502656709,0.527626684919444
"ABCB8",-0.104815473778307,3.7393827223446,0.84002685542418
"ABCC1",-0.023649591728337,7.00403138629762,0.955733650149539
"ABCC10",0.0557538326170103,6.0005387978212,0.829519152669619
"ABCC3",-0.106965193449049,6.1346111006355,0.772170869138843
"ABCC4",0.0842663975742755,3.27184225751272,0.784926721835814
"ABCC5",-0.0248227975309246,4.89642076637847,0.986791750859163
"ABCC9",-0.622020427062335,4.81088546763965,0.332472483148179
"ABCD1",0.0911932733038957,0.950374887345489,0.831504459350687
"ABCD3",0.352521595722621,3.29995030857845,0.41663018907701
"ABCD4",0.0255010120882259,6.39194383805641,0.905502294247885
"ABCE1",0.264737100826181,5.59727903348899,0.511492320889521
"ABCF1",-0.685260774754315,2.23642836872523,0.167899543258665
